Test Name,FF1 Encryption Time (ns),AES-CBC Encryption Time (ns),FF1 Decryption Time (ns),AES-CBC Decryption Time (ns)
Test 428,0.0000,0.0000,0.0000,0.0000
Test 429,1.0002,0.0000,0.0000,0.0000
Test 430,0.0000,0.0000,0.0000,0.0000
Test 431,0.0000,0.0000,0.0000,0.0000
Test 432,0.0000,0.0000,0.0000,0.0000
Test 433,0.0000,0.0000,0.0000,0.0000
Test 434,0.0000,0.0000,0.0000,0.0000
Test 435,0.0000,0.0000,0.0000,0.0000
Test 436,0.0000,0.0000,0.0000,0.0000
Test 437,0.0000,0.0000,0.0000,0.0000
Test 438,0.0000,0.0000,0.0000,0.0000
Test 439,0.0000,0.0000,0.0000,0.0000
Test 440,0.0000,0.0000,0.0000,0.0000
Test 441,0.0000,0.0000,1001300.0000,0.0000
Test 442,0.0000,0.0000,0.0000,0.0000
Test 443,0.0000,0.0000,0.0000,0.0000
Test 444,0.0000,0.0000,0.0000,0.0000
Test 445,0.0000,0.0000,0.0000,0.0000
Test 446,0.0000,0.0000,0.0000,0.0000
Test 447,0.0000,0.0000,0.0000,0.0000
Test 448,0.0000,0.0000,0.0000,0.0000
Test 449,0.0000,0.0000,0.0000,0.0000
Test 450,0.0000,0.0000,0.0000,0.0000
Test 451,0.0000,0.0000,0.0000,0.0000
Test 452,0.9990,0.0000,0.0000,0.0000
Test 453,0.0000,0.0000,0.0000,0.0000
Test 454,0.0000,0.0000,0.0000,0.0000
Test 455,0.0000,0.0000,0.0000,0.0000
Test 456,0.0000,0.0000,0.0000,0.0000
Test 457,0.0000,0.0000,0.0000,0.0000
Test 458,0.0000,0.0000,0.0000,0.0000
Test 459,0.0000,0.0000,0.0000,0.0000
Test 460,0.0000,0.0000,0.0000,0.0000
Test 461,0.0000,0.0000,0.0000,0.0000
Test 462,0.0000,0.0000,0.0000,0.0000
Test 463,0.0000,0.0000,0.0000,0.0000
Test 464,0.0000,0.0000,1000100.0000,0.0000
Test 465,0.0000,0.0000,0.0000,0.0000
Test 466,0.0000,0.0000,0.0000,0.0000
Test 467,0.0000,0.0000,0.0000,0.0000
Test 468,0.0000,0.0000,0.0000,0.0000
Test 469,0.0000,0.0000,0.0000,0.0000
Test 470,0.0000,0.0000,0.0000,0.0000
Test 471,0.0000,0.0000,0.0000,0.0000
Test 472,0.0000,0.0000,0.0000,0.0000
Test 473,0.0000,0.0000,0.0000,0.0000
Test 474,0.0000,0.0000,0.0000,0.0000
Test 475,0.0000,0.0000,0.0000,0.0000
Test 476,0.0000,0.0000,0.0000,0.0000
Test 477,0.0000,0.0000,0.0000,0.0000
Test 478,1.0003,0.0000,0.0000,0.0000
Test 479,0.0000,0.0000,0.0000,0.0000
Test 480,0.0000,0.0000,0.0000,0.0000
Test 481,0.0000,0.0000,0.0000,0.0000
Test 482,0.0000,0.0000,0.0000,0.0000
Test 483,0.0000,0.0000,0.0000,0.0000
Test 484,0.0000,0.0000,0.0000,0.0000
Test 485,0.0000,0.0000,0.0000,0.0000
Test 486,0.0000,0.0000,0.0000,0.0000
Test 487,0.0000,0.0000,0.0000,0.0000
Test 488,0.0000,0.0000,0.0000,0.0000
Test 489,0.0000,0.0000,0.0000,0.0000
Test 490,0.0000,0.0000,0.0000,0.0000
Test 491,1.0001,0.0000,0.0000,0.0000
Test 492,0.0000,0.0000,0.0000,0.0000
Test 493,0.0000,0.0000,0.0000,0.0000
Test 494,0.0000,0.0000,0.0000,0.0000
